0.00,0.00,2.58,0.00
0.00,0.00,2.58,2.58
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,8.69,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,359.94,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,0.00,2.58,0.00
0.00,-0.06,2.58,0.00
0.00,-0.12,2.58,0.00
0.00,-0.19,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.12,0.42,-2.17
0.00,-0.31,0.42,0.00
0.00,-0.25,2.58,2.17
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-0.25,2.58,0.00
0.00,-358.94,2.58,0.00
0.12,4.31,2.58,0.00
0.12,2.69,2.58,0.00
0.12,-0.63,2.58,0.00
0.12,-3.69,2.58,0.00
